candidate,office,district,party,county,precinct,early_voting,election_day,votes
,Straight Party,,L,Wayne,WAYNE31,0,1,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE31,151,84,245
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE31,150,72,222
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE31,7,7,14
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE31,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE31,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE31,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE31,179,94,273
Jim Harper,Secretary of State,,,Wayne,WAYNE31,134,65,199
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE31,5,8,13
George William Wolfe,Secretary of State,,W,Wayne,WAYNE31,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE31,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE31,175,95,270
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE31,136,65,201
John Schick,Auditor of State,,,Wayne,WAYNE31,5,6,11
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE31,182,101,283
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE31,134,65,199
Greg Pence,U.S. House,6,,Wayne,WAYNE31,164,93,257
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE31,145,67,212
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE31,13,5,18
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE31,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE31,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE31,188,101,289
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE31,133,63,196
Bradford J Barrett,State Representative,56,,Wayne,WAYNE31,186,109,295
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE31,127,52,179
Jeremy Why,State Representative,56,,Wayne,WAYNE31,10,7,17
,Ballots Cast,,,Wayne,WAYNE32,,,394
,Straight Party,,R,Wayne,WAYNE32,70,54,124
,Straight Party,,D,Wayne,WAYNE32,52,24,76
,Straight Party,,L,Wayne,WAYNE32,1,0,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE32,123,81,204
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE32,120,63,183
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE32,1,1,2
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE32,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE32,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE32,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE32,143,91,234
Jim Harper,Secretary of State,,,Wayne,WAYNE32,99,49,148
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE32,2,3,5
George William Wolfe,Secretary of State,,W,Wayne,WAYNE32,2,0,2
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE32,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE32,138,94,232
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE32,101,49,150
John Schick,Auditor of State,,,Wayne,WAYNE32,4,1,5
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE32,137,98,235
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE32,106,45,151
Greg Pence,U.S. House,6,,Wayne,WAYNE32,127,87,214
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE32,114,53,167
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE32,4,4,8
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE32,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE32,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE32,145,102,247
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE32,99,43,142
Bradford J Barrett,State Representative,56,,Wayne,WAYNE32,156,107,263
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE32,91,39,130
Jeremy Why,State Representative,56,,Wayne,WAYNE32,0,1,1
,Ballots Cast,,,Wayne,WAYNE33,,,172
,Straight Party,,R,Wayne,WAYNE33,21,25,46
,Straight Party,,D,Wayne,WAYNE33,32,23,55
,Straight Party,,L,Wayne,WAYNE33,0,3,3
Mike Braun,U.S. Senate,,,Wayne,WAYNE33,31,31,62
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE33,57,39,96
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE33,2,7,9
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE33,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE33,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE33,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE33,37,40,77
Jim Harper,Secretary of State,,,Wayne,WAYNE33,56,35,91
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE33,2,1,3
George William Wolfe,Secretary of State,,W,Wayne,WAYNE33,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE33,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE33,37,36,73
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE33,57,33,90
John Schick,Auditor of State,,,Wayne,WAYNE33,1,5,6
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE33,38,41,79
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE33,56,35,91
Greg Pence,U.S. House,6,,Wayne,WAYNE33,36,33,69
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE33,59,37,96
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE33,0,4,4
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE33,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE33,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE33,39,38,77
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE33,56,37,93
Bradford J Barrett,State Representative,56,,Wayne,WAYNE33,41,38,79
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE33,53,36,89
Jeremy Why,State Representative,56,,Wayne,WAYNE33,1,2,3
,Ballots Cast,,,Wayne,WAYNE34,,,289
,Straight Party,,R,Wayne,WAYNE34,68,38,106
,Straight Party,,D,Wayne,WAYNE34,40,15,55
,Straight Party,,L,Wayne,WAYNE34,0,1,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE34,106,60,166
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE34,80,29,109
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE34,6,3,9
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE34,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE34,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE34,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE34,115,64,179
Jim Harper,Secretary of State,,,Wayne,WAYNE34,72,27,99
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE34,3,1,4
George William Wolfe,Secretary of State,,W,Wayne,WAYNE34,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE34,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE34,114,67,181
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE34,69,23,92
John Schick,Auditor of State,,,Wayne,WAYNE34,2,3,5
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE34,115,68,183
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE34,71,24,95
Greg Pence,U.S. House,6,,Wayne,WAYNE34,108,62,170
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE34,77,27,104
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE34,7,5,12
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE34,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE34,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE34,117,68,185
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE34,73,26,99
Bradford J Barrett,State Representative,56,,Wayne,WAYNE34,123,72,195
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE34,69,21,90
Jeremy Why,State Representative,56,,Wayne,WAYNE34,1,2,3
,Ballots Cast,,,Wayne,WAYNE35,,,327
,Straight Party,,R,Wayne,WAYNE35,75,70,145
,Straight Party,,D,Wayne,WAYNE35,29,20,49
,Straight Party,,L,Wayne,WAYNE35,1,0,1
Mike Braun,U.S. Senate,,,Wayne,WAYNE35,106,99,205
Joe Donnelly,U.S. Senate,,,Wayne,WAYNE35,62,41,103
Lucy M Brenton,U.S. Senate,,,Wayne,WAYNE35,6,4,10
Nathan Altman,U.S. Senate,,W,Wayne,WAYNE35,0,0,0
Christopher Fischer,U.S. Senate,,W,Wayne,WAYNE35,0,0,0
James L Johnson,U.S. Senate,,W,Wayne,WAYNE35,0,0,0
Connie Lawson,Secretary of State,,,Wayne,WAYNE35,116,94,210
Jim Harper,Secretary of State,,,Wayne,WAYNE35,51,49,100
Mark W. Rutherford,Secretary of State,,,Wayne,WAYNE35,5,4,9
George William Wolfe,Secretary of State,,W,Wayne,WAYNE35,0,0,0
Jeremy Heath,Secretary of State,,W,Wayne,WAYNE35,0,0,0
Tera Klutz,Auditor of State,,,Wayne,WAYNE35,114,91,205
Joselyn Whitticker,Auditor of State,,,Wayne,WAYNE35,53,50,103
John Schick,Auditor of State,,,Wayne,WAYNE35,7,5,12
Kelly Mitchell,Treasurer of State,,,Wayne,WAYNE35,119,100,219
John C. Aguilera,Treasurer of State,,,Wayne,WAYNE35,52,45,97
Greg Pence,U.S. House,6,,Wayne,WAYNE35,109,95,204
Jeannine Lee Lake,U.S. House,6,,Wayne,WAYNE35,56,46,102
Tom Ferkinhogg,U.S. House,6,,Wayne,WAYNE35,10,7,17
Heather Leigh Meloy,U.S. House,6,W,Wayne,WAYNE35,0,0,0
John Miller,U.S. House,6,W,Wayne,WAYNE35,0,0,0
Jeff Raatz,State Senate ,27,,Wayne,WAYNE35,123,101,224
Jerome (Jake) Hoog,State Senate ,27,,Wayne,WAYNE35,49,44,93
Bradford J Barrett,State Representative,56,,Wayne,WAYNE35,122,101,223
Jeffrey S Locke,State Representative,56,,Wayne,WAYNE35,51,40,91
Jeremy Why,State Representative,56,,Wayne,WAYNE35,2,6,8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
